input,output
type of holdings is int,ColumnDataType `holdings` = 6183
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 6183
height = 221092,ColumnValue `height` = 221092
length of age <= 5419,ColumnLength `age` <= 5419
salary > 4920,ColumnValue `salary` > 4920
type of holdings is int,ColumnDataType `holdings` = 4920
type of height is float,ColumnDataType `height` = 4920
weight <= 481216,ColumnValue `weight` <= 481216
ticker_symbol <= 291187,ColumnValue `ticker_symbol` <= 291187
type of age is int,ColumnDataType `age` = 291187
length of salary >= 1639,ColumnLength `salary` >= 1639
length of ticker_symbol <= 969,ColumnLength `ticker_symbol` <= 969
type of salary is int,ColumnDataType `salary` = 969
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 969
height = 170613,ColumnValue `height` = 170613
height <= 50943,ColumnValue `height` <= 50943
cusip > 600464,ColumnValue `cusip` > 600464
salary <= 335640,ColumnValue `salary` <= 335640
salary = 530690,ColumnValue `salary` = 530690
cusip > 725713,ColumnValue `cusip` > 725713
length of ticker_symbol >= 7085,ColumnLength `ticker_symbol` >= 7085
length of cusip > 1303,ColumnLength `cusip` > 1303
age >= 42863,ColumnValue `age` >= 42863
type of weight is boolean,ColumnDataType `weight` = 42863
length of height < 7791,ColumnLength `height` < 7791
type of weight is boolean,ColumnDataType `weight` = 7791
type of holdings is string,ColumnDataType `holdings` = 7791
salary >= 215082,ColumnValue `salary` >= 215082
type of salary is float,ColumnDataType `salary` = 215082
type of height is float,ColumnDataType `height` = 215082
type of weight is boolean,ColumnDataType `weight` = 215082
ticker_symbol >= 977167,ColumnValue `ticker_symbol` >= 977167
length of holdings = 947,ColumnLength `holdings` = 947
length of holdings < 8136,ColumnLength `holdings` < 8136
height = 388102,ColumnValue `height` = 388102
type of height is int,ColumnDataType `height` = 388102
type of age is int,ColumnDataType `age` = 388102
length of weight > 3420,ColumnLength `weight` > 3420
length of cusip >= 8869,ColumnLength `cusip` >= 8869
type of height is boolean,ColumnDataType `height` = 8869
weight <= 798220,ColumnValue `weight` <= 798220
weight < 717734,ColumnValue `weight` < 717734
holdings < 607576,ColumnValue `holdings` < 607576
age < 225938,ColumnValue `age` < 225938
type of cusip is boolean,ColumnDataType `cusip` = 225938
length of ticker_symbol = 3418,ColumnLength `ticker_symbol` = 3418
cusip = 678538,ColumnValue `cusip` = 678538
length of height = 2791,ColumnLength `height` = 2791
age <= 984274,ColumnValue `age` <= 984274
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 984274
height > 799273,ColumnValue `height` > 799273
length of holdings < 604,ColumnLength `holdings` < 604
type of weight is float,ColumnDataType `weight` = 604
length of salary >= 874,ColumnLength `salary` >= 874
type of holdings is boolean,ColumnDataType `holdings` = 874
length of salary > 8357,ColumnLength `salary` > 8357
age < 707137,ColumnValue `age` < 707137
type of weight is string,ColumnDataType `weight` = 707137
type of height is float,ColumnDataType `height` = 707137
holdings < 599941,ColumnValue `holdings` < 599941
length of ticker_symbol >= 1291,ColumnLength `ticker_symbol` >= 1291
length of height > 4506,ColumnLength `height` > 4506
length of holdings > 9554,ColumnLength `holdings` > 9554
height = 919967,ColumnValue `height` = 919967
salary <= 51364,ColumnValue `salary` <= 51364
length of ticker_symbol > 2350,ColumnLength `ticker_symbol` > 2350
cusip < 779522,ColumnValue `cusip` < 779522
type of cusip is int,ColumnDataType `cusip` = 779522
cusip > 969421,ColumnValue `cusip` > 969421
length of holdings = 6819,ColumnLength `holdings` = 6819
type of weight is boolean,ColumnDataType `weight` = 6819
weight > 910212,ColumnValue `weight` > 910212
type of weight is int,ColumnDataType `weight` = 910212
weight > 924231,ColumnValue `weight` > 924231
length of ticker_symbol > 3896,ColumnLength `ticker_symbol` > 3896
age > 455384,ColumnValue `age` > 455384
age = 296236,ColumnValue `age` = 296236
length of holdings > 1547,ColumnLength `holdings` > 1547
age > 673894,ColumnValue `age` > 673894
holdings >= 356790,ColumnValue `holdings` >= 356790
weight > 163950,ColumnValue `weight` > 163950
height > 419464,ColumnValue `height` > 419464
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 419464
length of age >= 8981,ColumnLength `age` >= 8981
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 8981
type of age is string,ColumnDataType `age` = 8981
type of salary is boolean,ColumnDataType `salary` = 8981
type of weight is int,ColumnDataType `weight` = 8981
height = 703799,ColumnValue `height` = 703799
type of height is float,ColumnDataType `height` = 703799
length of height <= 1671,ColumnLength `height` <= 1671
salary >= 309602,ColumnValue `salary` >= 309602
type of cusip is int,ColumnDataType `cusip` = 309602
holdings < 104377,ColumnValue `holdings` < 104377
type of salary is float,ColumnDataType `salary` = 104377
height >= 898182,ColumnValue `height` >= 898182
type of cusip is boolean,ColumnDataType `cusip` = 898182
salary < 549478,ColumnValue `salary` < 549478
height = 571277,ColumnValue `height` = 571277
weight <= 349914,ColumnValue `weight` <= 349914
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 349914
type of age is float,ColumnDataType `age` = 349914
length of age = 8589,ColumnLength `age` = 8589
type of age is boolean,ColumnDataType `age` = 8589
weight < 663021,ColumnValue `weight` < 663021
ticker_symbol = 734898,ColumnValue `ticker_symbol` = 734898
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 734898
type of height is boolean,ColumnDataType `height` = 734898
holdings < 819417,ColumnValue `holdings` < 819417
ticker_symbol >= 647283,ColumnValue `ticker_symbol` >= 647283
type of age is boolean,ColumnDataType `age` = 647283
type of cusip is string,ColumnDataType `cusip` = 647283
weight <= 564413,ColumnValue `weight` <= 564413
length of weight < 6001,ColumnLength `weight` < 6001
length of weight < 9529,ColumnLength `weight` < 9529
cusip >= 220644,ColumnValue `cusip` >= 220644
type of height is string,ColumnDataType `height` = 220644
weight >= 187879,ColumnValue `weight` >= 187879
length of cusip < 2300,ColumnLength `cusip` < 2300
ticker_symbol < 854217,ColumnValue `ticker_symbol` < 854217
type of weight is string,ColumnDataType `weight` = 854217
cusip < 504175,ColumnValue `cusip` < 504175
weight < 780318,ColumnValue `weight` < 780318
length of age <= 1731,ColumnLength `age` <= 1731
ticker_symbol > 609700,ColumnValue `ticker_symbol` > 609700
salary <= 581483,ColumnValue `salary` <= 581483
type of salary is boolean,ColumnDataType `salary` = 581483
length of age >= 2372,ColumnLength `age` >= 2372
type of cusip is int,ColumnDataType `cusip` = 2372
length of ticker_symbol > 837,ColumnLength `ticker_symbol` > 837
type of height is boolean,ColumnDataType `height` = 837
length of cusip > 9979,ColumnLength `cusip` > 9979
length of cusip <= 5392,ColumnLength `cusip` <= 5392
length of holdings < 9420,ColumnLength `holdings` < 9420
weight <= 147660,ColumnValue `weight` <= 147660
holdings <= 814004,ColumnValue `holdings` <= 814004
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 814004
length of weight >= 7674,ColumnLength `weight` >= 7674
type of height is int,ColumnDataType `height` = 7674
cusip < 164204,ColumnValue `cusip` < 164204
length of holdings > 4842,ColumnLength `holdings` > 4842
length of age <= 2859,ColumnLength `age` <= 2859
length of holdings <= 1622,ColumnLength `holdings` <= 1622
length of cusip >= 7549,ColumnLength `cusip` >= 7549
length of cusip <= 8281,ColumnLength `cusip` <= 8281
type of salary is string,ColumnDataType `salary` = 8281
length of age >= 945,ColumnLength `age` >= 945
type of holdings is string,ColumnDataType `holdings` = 945
length of height > 190,ColumnLength `height` > 190
length of height > 7604,ColumnLength `height` > 7604
length of cusip = 6552,ColumnLength `cusip` = 6552
ticker_symbol > 587267,ColumnValue `ticker_symbol` > 587267
type of age is string,ColumnDataType `age` = 587267
length of weight = 491,ColumnLength `weight` = 491
type of salary is string,ColumnDataType `salary` = 491
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 491
type of salary is int,ColumnDataType `salary` = 491
type of holdings is boolean,ColumnDataType `holdings` = 491
ticker_symbol <= 456318,ColumnValue `ticker_symbol` <= 456318
ticker_symbol < 881713,ColumnValue `ticker_symbol` < 881713
holdings = 477346,ColumnValue `holdings` = 477346
type of salary is boolean,ColumnDataType `salary` = 477346
type of weight is int,ColumnDataType `weight` = 477346
type of weight is boolean,ColumnDataType `weight` = 477346
height = 351412,ColumnValue `height` = 351412
length of weight > 1363,ColumnLength `weight` > 1363
length of holdings >= 8579,ColumnLength `holdings` >= 8579
length of age < 4240,ColumnLength `age` < 4240
length of cusip <= 9506,ColumnLength `cusip` <= 9506
type of height is boolean,ColumnDataType `height` = 9506
type of height is boolean,ColumnDataType `height` = 9506
length of salary < 2400,ColumnLength `salary` < 2400
length of height = 1372,ColumnLength `height` = 1372
type of height is float,ColumnDataType `height` = 1372
type of holdings is string,ColumnDataType `holdings` = 1372
length of holdings > 2478,ColumnLength `holdings` > 2478
height >= 325202,ColumnValue `height` >= 325202
length of ticker_symbol > 1684,ColumnLength `ticker_symbol` > 1684
length of holdings <= 4335,ColumnLength `holdings` <= 4335
salary <= 192391,ColumnValue `salary` <= 192391
height >= 991444,ColumnValue `height` >= 991444
length of height <= 6606,ColumnLength `height` <= 6606
cusip < 788724,ColumnValue `cusip` < 788724
weight >= 829802,ColumnValue `weight` >= 829802
ticker_symbol = 686060,ColumnValue `ticker_symbol` = 686060
type of age is int,ColumnDataType `age` = 686060
type of weight is boolean,ColumnDataType `weight` = 686060
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 686060
type of age is int,ColumnDataType `age` = 686060
length of age > 464,ColumnLength `age` > 464
length of salary >= 9436,ColumnLength `salary` >= 9436
length of holdings = 5786,ColumnLength `holdings` = 5786
weight < 90181,ColumnValue `weight` < 90181
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 90181
age >= 325795,ColumnValue `age` >= 325795
salary >= 13552,ColumnValue `salary` >= 13552
type of holdings is int,ColumnDataType `holdings` = 13552
type of height is boolean,ColumnDataType `height` = 13552
type of salary is boolean,ColumnDataType `salary` = 13552
length of height < 3099,ColumnLength `height` < 3099
ticker_symbol < 693965,ColumnValue `ticker_symbol` < 693965
length of age < 4364,ColumnLength `age` < 4364
age = 604040,ColumnValue `age` = 604040
type of holdings is string,ColumnDataType `holdings` = 604040
type of weight is float,ColumnDataType `weight` = 604040
length of ticker_symbol > 1958,ColumnLength `ticker_symbol` > 1958
cusip > 416454,ColumnValue `cusip` > 416454
length of ticker_symbol <= 5910,ColumnLength `ticker_symbol` <= 5910
type of age is float,ColumnDataType `age` = 5910
length of holdings = 6955,ColumnLength `holdings` = 6955
height = 828653,ColumnValue `height` = 828653
type of cusip is boolean,ColumnDataType `cusip` = 828653
type of weight is boolean,ColumnDataType `weight` = 828653
length of holdings <= 2282,ColumnLength `holdings` <= 2282
age < 336426,ColumnValue `age` < 336426
length of salary < 6077,ColumnLength `salary` < 6077
cusip >= 844209,ColumnValue `cusip` >= 844209
height < 806133,ColumnValue `height` < 806133
length of weight > 3572,ColumnLength `weight` > 3572
type of age is boolean,ColumnDataType `age` = 3572
type of holdings is int,ColumnDataType `holdings` = 3572
holdings = 171332,ColumnValue `holdings` = 171332
length of cusip <= 7384,ColumnLength `cusip` <= 7384
holdings < 300259,ColumnValue `holdings` < 300259
height > 684418,ColumnValue `height` > 684418
height >= 349324,ColumnValue `height` >= 349324
length of age > 539,ColumnLength `age` > 539
length of salary = 8830,ColumnLength `salary` = 8830
height < 954271,ColumnValue `height` < 954271
height < 721282,ColumnValue `height` < 721282
length of weight = 5014,ColumnLength `weight` = 5014
length of age > 667,ColumnLength `age` > 667
ticker_symbol = 748882,ColumnValue `ticker_symbol` = 748882
length of salary < 135,ColumnLength `salary` < 135
type of height is float,ColumnDataType `height` = 135
type of cusip is float,ColumnDataType `cusip` = 135
height < 210565,ColumnValue `height` < 210565
ticker_symbol > 556294,ColumnValue `ticker_symbol` > 556294
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 556294
length of height <= 662,ColumnLength `height` <= 662
length of age = 324,ColumnLength `age` = 324
type of age is boolean,ColumnDataType `age` = 324
length of age < 7046,ColumnLength `age` < 7046
type of cusip is string,ColumnDataType `cusip` = 7046
type of cusip is string,ColumnDataType `cusip` = 7046
length of salary < 842,ColumnLength `salary` < 842
weight < 759934,ColumnValue `weight` < 759934
length of age > 4813,ColumnLength `age` > 4813
type of height is float,ColumnDataType `height` = 4813
length of height = 4177,ColumnLength `height` = 4177
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 4177
type of height is int,ColumnDataType `height` = 4177
length of height >= 6542,ColumnLength `height` >= 6542
weight <= 210792,ColumnValue `weight` <= 210792
type of height is int,ColumnDataType `height` = 210792
length of holdings = 9762,ColumnLength `holdings` = 9762
age < 153114,ColumnValue `age` < 153114
length of age <= 3227,ColumnLength `age` <= 3227
holdings = 582365,ColumnValue `holdings` = 582365
height < 753180,ColumnValue `height` < 753180
length of ticker_symbol > 4810,ColumnLength `ticker_symbol` > 4810
length of holdings = 9343,ColumnLength `holdings` = 9343
salary >= 36761,ColumnValue `salary` >= 36761
holdings = 748388,ColumnValue `holdings` = 748388
length of salary >= 8900,ColumnLength `salary` >= 8900
cusip = 911923,ColumnValue `cusip` = 911923
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 911923
length of holdings < 5926,ColumnLength `holdings` < 5926
length of cusip < 2015,ColumnLength `cusip` < 2015
type of salary is float,ColumnDataType `salary` = 2015
length of weight < 638,ColumnLength `weight` < 638
length of holdings >= 4364,ColumnLength `holdings` >= 4364
age = 206479,ColumnValue `age` = 206479
type of weight is string,ColumnDataType `weight` = 206479
length of weight > 2667,ColumnLength `weight` > 2667
height >= 207785,ColumnValue `height` >= 207785
ticker_symbol <= 661432,ColumnValue `ticker_symbol` <= 661432
length of age < 1078,ColumnLength `age` < 1078
type of weight is boolean,ColumnDataType `weight` = 1078
length of holdings = 4191,ColumnLength `holdings` = 4191
holdings < 104842,ColumnValue `holdings` < 104842
type of age is boolean,ColumnDataType `age` = 104842
length of ticker_symbol >= 9679,ColumnLength `ticker_symbol` >= 9679
length of weight >= 4641,ColumnLength `weight` >= 4641
type of age is float,ColumnDataType `age` = 4641
type of cusip is float,ColumnDataType `cusip` = 4641
weight > 507595,ColumnValue `weight` > 507595
cusip > 41892,ColumnValue `cusip` > 41892
length of age >= 341,ColumnLength `age` >= 341
length of ticker_symbol = 5810,ColumnLength `ticker_symbol` = 5810
type of salary is boolean,ColumnDataType `salary` = 5810
length of ticker_symbol >= 2669,ColumnLength `ticker_symbol` >= 2669
type of salary is int,ColumnDataType `salary` = 2669
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 2669
cusip = 105408,ColumnValue `cusip` = 105408
type of salary is boolean,ColumnDataType `salary` = 105408
length of age >= 5403,ColumnLength `age` >= 5403
type of weight is string,ColumnDataType `weight` = 5403
salary <= 385120,ColumnValue `salary` <= 385120
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 385120
type of height is string,ColumnDataType `height` = 385120
type of salary is int,ColumnDataType `salary` = 385120
age <= 439237,ColumnValue `age` <= 439237
cusip <= 388025,ColumnValue `cusip` <= 388025
weight < 764506,ColumnValue `weight` < 764506
type of height is int,ColumnDataType `height` = 764506
salary > 165761,ColumnValue `salary` > 165761
length of age <= 8953,ColumnLength `age` <= 8953
age > 728951,ColumnValue `age` > 728951
length of salary > 7494,ColumnLength `salary` > 7494
length of salary >= 9255,ColumnLength `salary` >= 9255
salary > 335680,ColumnValue `salary` > 335680
length of age > 7198,ColumnLength `age` > 7198
type of cusip is int,ColumnDataType `cusip` = 7198
type of salary is int,ColumnDataType `salary` = 7198
length of weight >= 5685,ColumnLength `weight` >= 5685
length of holdings > 2766,ColumnLength `holdings` > 2766
length of age > 3842,ColumnLength `age` > 3842
salary <= 453384,ColumnValue `salary` <= 453384
type of salary is string,ColumnDataType `salary` = 453384
age <= 499071,ColumnValue `age` <= 499071
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 499071
type of age is float,ColumnDataType `age` = 499071
weight < 105766,ColumnValue `weight` < 105766
salary > 171261,ColumnValue `salary` > 171261
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 171261
length of age = 2168,ColumnLength `age` = 2168
length of height = 5599,ColumnLength `height` = 5599
length of ticker_symbol > 6525,ColumnLength `ticker_symbol` > 6525
type of salary is string,ColumnDataType `salary` = 6525
length of weight >= 8517,ColumnLength `weight` >= 8517
age < 776023,ColumnValue `age` < 776023
type of weight is int,ColumnDataType `weight` = 776023
ticker_symbol > 545011,ColumnValue `ticker_symbol` > 545011
salary = 558507,ColumnValue `salary` = 558507
type of cusip is boolean,ColumnDataType `cusip` = 558507
length of cusip <= 3610,ColumnLength `cusip` <= 3610
length of height < 3805,ColumnLength `height` < 3805
ticker_symbol >= 145181,ColumnValue `ticker_symbol` >= 145181
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 145181
length of cusip >= 9023,ColumnLength `cusip` >= 9023
length of ticker_symbol = 3040,ColumnLength `ticker_symbol` = 3040
height <= 913217,ColumnValue `height` <= 913217
length of salary >= 6917,ColumnLength `salary` >= 6917
type of age is float,ColumnDataType `age` = 6917
age >= 806822,ColumnValue `age` >= 806822
ticker_symbol > 598095,ColumnValue `ticker_symbol` > 598095
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 598095
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 598095
age < 413804,ColumnValue `age` < 413804
type of holdings is int,ColumnDataType `holdings` = 413804
length of cusip > 7461,ColumnLength `cusip` > 7461
type of weight is boolean,ColumnDataType `weight` = 7461
type of weight is float,ColumnDataType `weight` = 7461
length of cusip < 6911,ColumnLength `cusip` < 6911
length of cusip < 9481,ColumnLength `cusip` < 9481
holdings >= 37178,ColumnValue `holdings` >= 37178
holdings > 464579,ColumnValue `holdings` > 464579
type of age is string,ColumnDataType `age` = 464579
length of salary > 2888,ColumnLength `salary` > 2888
length of age > 5271,ColumnLength `age` > 5271
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 5271
length of age = 3932,ColumnLength `age` = 3932
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 3932
length of age = 7923,ColumnLength `age` = 7923
ticker_symbol <= 238970,ColumnValue `ticker_symbol` <= 238970
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 238970
type of salary is boolean,ColumnDataType `salary` = 238970
height > 518982,ColumnValue `height` > 518982
length of holdings = 8451,ColumnLength `holdings` = 8451
length of holdings <= 9085,ColumnLength `holdings` <= 9085
type of age is boolean,ColumnDataType `age` = 9085
length of salary <= 2273,ColumnLength `salary` <= 2273
type of height is float,ColumnDataType `height` = 2273
type of height is int,ColumnDataType `height` = 2273
type of cusip is string,ColumnDataType `cusip` = 2273
length of age >= 4934,ColumnLength `age` >= 4934
length of ticker_symbol = 5219,ColumnLength `ticker_symbol` = 5219
age > 170446,ColumnValue `age` > 170446
type of cusip is boolean,ColumnDataType `cusip` = 170446
length of weight <= 1735,ColumnLength `weight` <= 1735
type of age is int,ColumnDataType `age` = 1735
ticker_symbol > 943090,ColumnValue `ticker_symbol` > 943090
length of holdings < 2543,ColumnLength `holdings` < 2543
length of cusip <= 5959,ColumnLength `cusip` <= 5959
type of salary is int,ColumnDataType `salary` = 5959
type of cusip is float,ColumnDataType `cusip` = 5959
length of salary >= 6937,ColumnLength `salary` >= 6937
ticker_symbol >= 59636,ColumnValue `ticker_symbol` >= 59636
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 59636
length of salary >= 5566,ColumnLength `salary` >= 5566
cusip < 192873,ColumnValue `cusip` < 192873
salary > 795127,ColumnValue `salary` > 795127
length of cusip >= 505,ColumnLength `cusip` >= 505
length of age <= 7190,ColumnLength `age` <= 7190
length of holdings >= 357,ColumnLength `holdings` >= 357
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 357
height < 974787,ColumnValue `height` < 974787
ticker_symbol < 263127,ColumnValue `ticker_symbol` < 263127
ticker_symbol <= 849310,ColumnValue `ticker_symbol` <= 849310
type of weight is boolean,ColumnDataType `weight` = 849310
weight > 988891,ColumnValue `weight` > 988891
length of weight = 8839,ColumnLength `weight` = 8839
holdings < 881573,ColumnValue `holdings` < 881573
length of holdings < 6631,ColumnLength `holdings` < 6631
length of weight = 4878,ColumnLength `weight` = 4878
height <= 758356,ColumnValue `height` <= 758356
height > 255069,ColumnValue `height` > 255069
age > 661319,ColumnValue `age` > 661319
height > 416478,ColumnValue `height` > 416478
cusip < 618738,ColumnValue `cusip` < 618738
salary < 530006,ColumnValue `salary` < 530006
length of age = 6812,ColumnLength `age` = 6812
length of salary < 926,ColumnLength `salary` < 926
weight > 262229,ColumnValue `weight` > 262229
length of age >= 5424,ColumnLength `age` >= 5424
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 5424
height < 756308,ColumnValue `height` < 756308
type of age is string,ColumnDataType `age` = 756308
length of cusip > 1404,ColumnLength `cusip` > 1404
type of cusip is float,ColumnDataType `cusip` = 1404
cusip >= 46276,ColumnValue `cusip` >= 46276
type of age is int,ColumnDataType `age` = 46276
length of ticker_symbol = 2224,ColumnLength `ticker_symbol` = 2224
age < 555470,ColumnValue `age` < 555470
salary = 752137,ColumnValue `salary` = 752137
height < 767330,ColumnValue `height` < 767330
ticker_symbol > 147236,ColumnValue `ticker_symbol` > 147236
length of weight = 3351,ColumnLength `weight` = 3351
holdings < 300713,ColumnValue `holdings` < 300713
length of weight >= 4239,ColumnLength `weight` >= 4239
type of holdings is boolean,ColumnDataType `holdings` = 4239
age > 375624,ColumnValue `age` > 375624
length of salary < 3145,ColumnLength `salary` < 3145
ticker_symbol = 748233,ColumnValue `ticker_symbol` = 748233
type of salary is boolean,ColumnDataType `salary` = 748233
holdings > 665533,ColumnValue `holdings` > 665533
ticker_symbol > 400164,ColumnValue `ticker_symbol` > 400164
age >= 420853,ColumnValue `age` >= 420853
length of age = 7033,ColumnLength `age` = 7033
type of weight is int,ColumnDataType `weight` = 7033
length of cusip < 6940,ColumnLength `cusip` < 6940
weight < 58093,ColumnValue `weight` < 58093
length of weight <= 3369,ColumnLength `weight` <= 3369
type of cusip is string,ColumnDataType `cusip` = 3369
length of cusip >= 9556,ColumnLength `cusip` >= 9556
cusip <= 787641,ColumnValue `cusip` <= 787641
length of height < 4924,ColumnLength `height` < 4924
length of salary <= 8566,ColumnLength `salary` <= 8566
length of holdings = 7102,ColumnLength `holdings` = 7102
length of weight = 2352,ColumnLength `weight` = 2352
type of height is string,ColumnDataType `height` = 2352
length of ticker_symbol >= 9813,ColumnLength `ticker_symbol` >= 9813
cusip > 311329,ColumnValue `cusip` > 311329
cusip < 257076,ColumnValue `cusip` < 257076
type of age is int,ColumnDataType `age` = 257076
age <= 806899,ColumnValue `age` <= 806899
weight > 374543,ColumnValue `weight` > 374543
weight > 75036,ColumnValue `weight` > 75036
ticker_symbol = 354262,ColumnValue `ticker_symbol` = 354262
ticker_symbol >= 893695,ColumnValue `ticker_symbol` >= 893695
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 893695
length of cusip <= 568,ColumnLength `cusip` <= 568
cusip = 483653,ColumnValue `cusip` = 483653
length of cusip > 7739,ColumnLength `cusip` > 7739
cusip = 535181,ColumnValue `cusip` = 535181
ticker_symbol = 655297,ColumnValue `ticker_symbol` = 655297
ticker_symbol = 238620,ColumnValue `ticker_symbol` = 238620
age > 960312,ColumnValue `age` > 960312
salary >= 81936,ColumnValue `salary` >= 81936
cusip > 440524,ColumnValue `cusip` > 440524
type of cusip is float,ColumnDataType `cusip` = 440524
length of holdings > 8822,ColumnLength `holdings` > 8822
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 8822
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 8822
cusip = 191089,ColumnValue `cusip` = 191089
length of ticker_symbol > 6061,ColumnLength `ticker_symbol` > 6061
cusip > 669686,ColumnValue `cusip` > 669686
type of height is float,ColumnDataType `height` = 669686
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 669686
length of ticker_symbol < 8269,ColumnLength `ticker_symbol` < 8269
ticker_symbol < 896254,ColumnValue `ticker_symbol` < 896254
weight >= 552151,ColumnValue `weight` >= 552151
type of weight is boolean,ColumnDataType `weight` = 552151
length of age < 7125,ColumnLength `age` < 7125
length of weight <= 3188,ColumnLength `weight` <= 3188
length of holdings >= 4438,ColumnLength `holdings` >= 4438
length of ticker_symbol < 4343,ColumnLength `ticker_symbol` < 4343
type of holdings is boolean,ColumnDataType `holdings` = 4343
type of salary is boolean,ColumnDataType `salary` = 4343
type of age is string,ColumnDataType `age` = 4343
holdings >= 758358,ColumnValue `holdings` >= 758358
length of salary >= 6063,ColumnLength `salary` >= 6063
weight > 967017,ColumnValue `weight` > 967017
length of salary > 7706,ColumnLength `salary` > 7706
type of salary is float,ColumnDataType `salary` = 7706
type of age is string,ColumnDataType `age` = 7706
type of cusip is int,ColumnDataType `cusip` = 7706
length of cusip <= 1742,ColumnLength `cusip` <= 1742
type of holdings is boolean,ColumnDataType `holdings` = 1742
type of height is float,ColumnDataType `height` = 1742
type of cusip is boolean,ColumnDataType `cusip` = 1742
type of salary is string,ColumnDataType `salary` = 1742
type of cusip is boolean,ColumnDataType `cusip` = 1742
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 1742
salary > 851085,ColumnValue `salary` > 851085
length of cusip >= 4927,ColumnLength `cusip` >= 4927
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 4927
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 4927
type of age is int,ColumnDataType `age` = 4927
cusip <= 556866,ColumnValue `cusip` <= 556866
length of age < 6640,ColumnLength `age` < 6640
ticker_symbol = 264871,ColumnValue `ticker_symbol` = 264871
length of cusip >= 8321,ColumnLength `cusip` >= 8321
length of age <= 3707,ColumnLength `age` <= 3707
length of salary = 7638,ColumnLength `salary` = 7638
length of salary > 1063,ColumnLength `salary` > 1063
length of age > 5656,ColumnLength `age` > 5656
length of cusip = 7386,ColumnLength `cusip` = 7386
length of weight = 7243,ColumnLength `weight` = 7243
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 7243
type of holdings is string,ColumnDataType `holdings` = 7243
salary = 931770,ColumnValue `salary` = 931770
length of age < 6553,ColumnLength `age` < 6553
age >= 796055,ColumnValue `age` >= 796055
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 796055
type of weight is int,ColumnDataType `weight` = 796055
type of salary is string,ColumnDataType `salary` = 796055
length of height < 4836,ColumnLength `height` < 4836
type of cusip is string,ColumnDataType `cusip` = 4836
length of weight < 7387,ColumnLength `weight` < 7387
holdings >= 645548,ColumnValue `holdings` >= 645548
ticker_symbol >= 572481,ColumnValue `ticker_symbol` >= 572481
length of ticker_symbol <= 4666,ColumnLength `ticker_symbol` <= 4666
age < 361050,ColumnValue `age` < 361050
length of salary >= 1917,ColumnLength `salary` >= 1917
length of ticker_symbol = 7172,ColumnLength `ticker_symbol` = 7172
length of cusip > 7196,ColumnLength `cusip` > 7196
type of height is float,ColumnDataType `height` = 7196
salary < 96499,ColumnValue `salary` < 96499
salary < 116580,ColumnValue `salary` < 116580
weight <= 398578,ColumnValue `weight` <= 398578
type of age is float,ColumnDataType `age` = 398578
length of salary <= 1072,ColumnLength `salary` <= 1072
type of age is float,ColumnDataType `age` = 1072
length of holdings >= 388,ColumnLength `holdings` >= 388
cusip <= 969286,ColumnValue `cusip` <= 969286
length of height > 1187,ColumnLength `height` > 1187
cusip > 694543,ColumnValue `cusip` > 694543
length of holdings < 4891,ColumnLength `holdings` < 4891
length of age > 8520,ColumnLength `age` > 8520
cusip >= 206227,ColumnValue `cusip` >= 206227
salary > 339154,ColumnValue `salary` > 339154
type of weight is boolean,ColumnDataType `weight` = 339154
type of height is boolean,ColumnDataType `height` = 339154
length of height >= 4493,ColumnLength `height` >= 4493
